date,season,design,trial,batch_size,room_temp,extraction_temp,pressure,extraction_time,volume,yield_ml_per_kg,plant_type,part,condition
,,,,kg,oC,oC,(bar),(minutes),(ml),,,,
2024-05-01 00:00:00,Summer,Old-Single Grate,1,10,40,96,1.01325,70,11.666666666666666,1.1666666666666665,Eucalyptus ,Leave,Fresh Part used without washing
2024-05-01 00:00:00,Summer,Old-Single Grate,1,20,40,96,1.01325,95,23.33,1.1664999999999999,Eucalyptus ,Leave,Fresh Part used without washing
2024-05-01 00:00:00,Summer,Old-Single Grate,1,30,40,96,1.01325,150,35,1.1666666666666667,Eucalyptus ,Leave,Fresh Part used without washing
2024-05-01 00:00:00,Summer,Old-Single Grate,2,10,40,95,1.01325,80,12.333333333333334,1.2333333333333334,Eucalyptus ,Leave,Fresh Part used without washing
2024-05-01 00:00:00,Summer,Old-Single Grate,2,20,40,95,1.01325,110,24.67,1.2335,Eucalyptus ,Leave,Fresh Part used without washing
2024-05-01 00:00:00,Summer,Old-Single Grate,2,30,40,95,1.01325,150,37,1.2333333333333334,Eucalyptus ,Leave,Fresh Part used without washing
2024-05-01 00:00:00,Summer,Old-Single Grate,3,10,40,97,1.01325,90,11.666666666666666,1.1666666666666665,Eucalyptus ,Leave,Fresh Part used without washing
2024-05-01 00:00:00,Summer,Old-Single Grate,3,20,40,97,1.01325,125,23.33,1.1664999999999999,Eucalyptus ,Leave,Fresh Part used without washing
2024-05-01 00:00:00,Summer,Old-Single Grate,3,30,40,97,1.01325,150,35,1.1666666666666667,Eucalyptus ,Leave,Fresh Part used without washing
2024-05-02 00:00:00,Summer,Old-Single Grate,4,10,38,96,1.01325,70,12.333333333333334,1.2333333333333334,Eucalyptus ,Leave,Fresh Part wash and used immediately
2024-05-02 00:00:00,Summer,Old-Single Grate,4,20,38,96,1.01325,95,24.67,1.2335,Eucalyptus ,Leave,Fresh Part wash and used immediately
2024-05-02 00:00:00,Summer,Old-Single Grate,4,30,38,96,1.01325,165,37,1.2333333333333334,Eucalyptus ,Leave,Fresh Part wash and used immediately
2024-05-02 00:00:00,Summer,Old-Single Grate,5,10,38,95,1.01325,80,12.666666666666666,1.2666666666666666,Eucalyptus ,Leave,Fresh Part wash and used immediately
2024-05-02 00:00:00,Summer,Old-Single Grate,5,20,38,95,1.01325,110,25.33,1.2665,Eucalyptus ,Leave,Fresh Part wash and used immediately
2024-05-02 00:00:00,Summer,Old-Single Grate,5,30,38,95,1.01325,165,38,1.2666666666666666,Eucalyptus ,Leave,Fresh Part wash and used immediately
2024-05-02 00:00:00,Summer,Old-Single Grate,6,10,38,97,1.01325,90,12.333333333333334,1.2333333333333334,Eucalyptus ,Leave,Fresh Part wash and used immediately
2024-05-02 00:00:00,Summer,Old-Single Grate,6,20,38,97,1.01325,125,24.67,1.2335,Eucalyptus ,Leave,Fresh Part wash and used immediately
2024-05-02 00:00:00,Summer,Old-Single Grate,6,30,38,97,1.01325,165,37,1.2333333333333334,Eucalyptus ,Leave,Fresh Part wash and used immediately
2024-05-03 00:00:00,Summer,Old-Single Grate,7,10,40,96,1.01325,70,13.666666666666666,1.3666666666666667,Eucalyptus ,Leave,Fresh Part wash and used after 24 hours
2024-05-03 00:00:00,Summer,Old-Single Grate,7,20,40,96,1.01325,95,27.33,1.3664999999999998,Eucalyptus ,Leave,Fresh Part wash and used after 24 hours
2024-05-03 00:00:00,Summer,Old-Single Grate,7,30,40,96,1.01325,135,41,1.3666666666666667,Eucalyptus ,Leave,Fresh Part wash and used after 24 hours
2024-05-03 00:00:00,Summer,Old-Single Grate,8,10,40,95,1.01325,80,13.666666666666666,1.3666666666666667,Eucalyptus ,Leave,Fresh Part wash and used after 24 hours
2024-05-03 00:00:00,Summer,Old-Single Grate,8,20,40,95,1.01325,110,27.33,1.3664999999999998,Eucalyptus ,Leave,Fresh Part wash and used after 24 hours
2024-05-03 00:00:00,Summer,Old-Single Grate,8,30,40,95,1.01325,135,41,1.3666666666666667,Eucalyptus ,Leave,Fresh Part wash and used after 24 hours
2024-05-03 00:00:00,Summer,Old-Single Grate,9,10,40,97,1.01325,90,13.333333333333334,1.3333333333333335,Eucalyptus ,Leave,Fresh Part wash and used after 24 hours
2024-05-03 00:00:00,Summer,Old-Single Grate,9,20,40,97,1.01325,125,26.67,1.3335000000000001,Eucalyptus ,Leave,Fresh Part wash and used after 24 hours
2024-05-03 00:00:00,Summer,Old-Single Grate,9,30,40,97,1.01325,135,40,1.3333333333333333,Eucalyptus ,Leave,Fresh Part wash and used after 24 hours
2024-05-04 00:00:00,Summer,Old-Single Grate,10,10,36,96,1.01325,70,11,1.1,Geranium ,Leave,Fresh Part used without washing
2024-05-04 00:00:00,Summer,Old-Single Grate,10,20,36,96,1.01325,95,22,1.1,Geranium ,Leave,Fresh Part used without washing
2024-05-04 00:00:00,Summer,Old-Single Grate,10,30,36,96,1.01325,150,33,1.1,Geranium ,Leave,Fresh Part used without washing
